manufacturer,price,title
broderbund,,clickart_950_000_premier_image_pack_dvdrom
computer_associates,,ca_international_arcserve_lapdesktop_oem_30pk
victory_multimedia,,noah_s_ark_activity_center_jewel_case_ages_38
sage_software,600.0,peachtree_by_sage_premium_accounting_for_nonprofits_2007
carryatune_technologies,100.0,singing_coach_unlimited
dantz,,emc_retrospect_75_disk_to_disk_windows
adobe,500.0,adobe_after_effects_professional_65_upgrade_from_standard_to_professional
nuance_academic,400.0,acad_upgrade_dragon_naturallyspeaking_pro_solution_90_a289afd79_0
kutoka,20.0,mia_s_math_adventure_just_in_time
disney,15.0,disney_s_1st_2nd_grade_bundle_pixar_1st_grade_secret_keys_and_aladdin_reading_quest
arcmediainc,,paper_art_gift_wrapping
hummingbird_communications,310.0,nfs_maestro_solo_2006_1u
microsoft,1849.0,microsoft_sql_server_standard_edition_2005_64_bit_cddvd_5_client
webroot_software,30.0,spy_sweeper_spanish
lotus_development,95.0,domino_designerdeveloper_v5_0
csdc,70.0,omnioutliner_professional_30
compaq_computer,,compaq_comp_secure_path_v30cnetware_wrkgrp_50_lic_231327b22
sonicsystemsinc,,upg_sgms_1000_incremental_node
topics_entertainment,20.0,the_human_body
schoolzoneinteractive,,school_zone_pencilpal_software_big_phonics_cdrom_book
ibm_aapmiscparts,,millie_s_math_house_ages_37_winmac
topics_entertainment,20.0,world_book_encyclopedia_2006
globalsoftwarepublishing,10.0,musicalis_guitar_workshop
broderbund,70.0,the_printshop_20_professional_publisher
stomp_inc,70.0,data_protection_suite
topics_entertainment,20.0,kids_power_fun_for_girls
adobe,299.0,adobe_premiere_pro_cs3_upgrade
metoosoftware,70.0,i_copy_dvds_2_professional_edition
genx,50.0,genx_media_made_easy_vol_3
encore,110.0,family_tree_maker_112_collector_s_edition
adobe,299.0,adobe_fireworks_cs3_mac
topics_entertainment,20.0,dinosaurs
topics_entertainment,20.0,instant_home_design_30_lb
xoom,,xoom_internet_movies_2
valusoft,30.0,form_workshop_1200
encore,100.0,the_print_shop_pro_publisher_22_deluxe_dvd
stomp_inc,40.0,stomp_inc_recover_lost_data_2005
dorlingkindersleymultimedia_dk,30.0,my_first_bible_stories
aladdin,60.0,the_big_mix_mac
xoom,,xoom_movie_clone_3_gold
encore,50.0,the_print_shop_22_deluxe
imsi,40.0,imsi_turbocad_designer_v_11
tri_synergy,30.0,lavasoft_adaware_plus_edition
imsi_design,,clip_art_and_more_250_000_jewel_case
topics_entertainment,,instant_immersion_language_lab_deluxe_edition
topics_entertainment,50.0,elementary_school_success_deluxe_2006
topics_entertainment,30.0,national_geographic_presents_redshift_planetarium
topics_entertainment,50.0,math_success_deluxe_2006
topics_entertainment,30.0,national_geographic_presents_forces_of_nature
topics_entertainment,50.0,reference_success_deluxe_2006
scholastic,10.0,clifford_the_big_red_dog_thinking_adventures
valusoft,15.0,mastercook_deluxe_low_carb
topics_entertainment,10.0,instant_home_design_jewel_case
boomerang,,boomerang_webshop_platinum
smithmicrosoftware,30.0,allume_boost_xp_for_windows
knowledge_adventure,10.0,jumpstart_learning_games_phonics_pc_mac
topics_entertainment,20.0,kids_power_fun_for_little_ones
topics_entertainment,20.0,museums_of_the_world
thq,20.0,matchbox_crosstown_heroes
globalsoftwarepublishing,30.0,studyworks_teaching_pro_middle_school_math_science_winmac
ibm,,trudy_s_time_and_place_house_ages_36
smithmicrosoftware,30.0,personal_image_manager
stomp_inc,,stomp_inc_drive_washer
xoom,,movies_on_psp
topics_entertainment,20.0,kids_power_fun_for_kids
sierra_online,,custom_landdesigner_3d_design_70
humongous_entertainment,30.0,freddi_fish_2_the_haunted_schoolhouse
netgear,90.0,netgear_vpn01l_vpn_client_software
microsoft,,mom_standard_ops_mgmt_lic_2005_english_mlp_5_oml
eastwest,200.0,eastwest_bsendorfer_290_grand_piano_virtual_instrument
diskeeper_corporation,200.0,diskeepeer_2007_admin_upgrade_sngl_lic_pack
datawatch,699.0,monarch_v9_0_1u
encore_software,10.0,midway_arcade_treasures_jewel_case
topics_entertainment,5.0,snap_10_000_drink_recipies_jewel_case
apple,499.0,mac_os_x_server_v10_47_10client
epson,30.0,epson_storyteller_photo_book_creator_8_x_10_20_pages
adobe,300.0,adobe_acrobat_capture_30_22101258
macsoft,20.0,age_of_mythology_mac
emedia,60.0,emedia_intermediate_guitar_method_os_x
computer_associates,70.0,ca_internet_security_suite_2007_3_user
topics_entertainment,10.0,kaplan_satactpsat_express
dataviz,30.0,passwords_plus_10
emedia,20.0,emedia_essential_bass_guitar
got_game,20.0,scratches_directors_cut
csdc,40.0,x3_reunion_virtual_programming_ltd
write_brothers,270.0,write_brothers_dramatica_pro_winmac
emedia,60.0,emedia_bass_method_winmac
microsoft_licenses,3601.0,microsoft_licenses_project_svr_sa_govt_h2200301
total_training,300.0,total_training_for_adobe_creative_suite_3_design_premium_bundle
sonycreativesoftware,20.0,everquest_titanium
dantz,,emc_retrospect_75_professional_for_windows_upgrade
iris,200.0,iriscard_pro_business_card_scanner
absolute_software,120.0,computrace_lojack_for_laptops_4_year_subscription
microsoft,160.0,microsoft_office_frontpage_2003_academic_version_windows
redorbentertainment,,warlords_3_jewel_case
autodesk_psg,48.0,autocad_2007_courseware_customizing_the_interface
sonicwall,,sonicwall_internet_upgrade_50node
eagle_games,21.0,tournament_poker_2005
encore_software,20.0,cold_zero_no_mercy
sosaggregationcompany,40.0,listen_for_ipod_magnetic_time
nuance_communications_inc,,textbridge_pro_11_5u_license_xp
macsoft,20.0,atari_arcade_classics_mac
avanquest_software,40.0,myinvoices_estimates_deluxe
viva_media,20.0,my_sim_aquarium
destineer,25.0,scrabble
topics_entertainment,,instant_immersion_spanish_audio_book
ciscosystemsenterprise,,cisco_security_server_agent_for_windows_and_solaris_license_100_agents_win_solaris_csab100srvrk9
adobe,243.0,photoshop_elements_5_and_premiere_elements_3_bundle_win_minibox_29180248
digital_praise,20.0,buzby_breakin_all_the_rules_hermie_and_friends
topics_entertainment,30.0,instant_immersion_french_20
hewlett_packard,,hp_digital_sending_secure_license_50_users_std
topics_entertainment,40.0,instant_play_electric_guitar_deluxe
fogware_publishing,10.0,foreign_policy_reform_winmac_jewel_case
microsoft_licenses,3372.0,microsoft_licenses_win_svr_2003_ext_conn_lic_r3900292
intuit_inc,1400.0,quickbooks_pos_pro_multistore_60
avanquest,30.0,encyclopedia_britannica_deluxe_2008_winmac
dvo_enterprises,20.0,cook_n_vegetarian
activision,20.0,hidden_expedition_titanic
business_objects,495.0,crystal_reports_xi_professional_edition
nova_development,,sierra_hallmark_card_studio_special_edition_windows
atari,20.0,crusader_kings
microsoft_licenses,42166.0,microsoft_licenses_exch_srvr_extrn_conn_sa_eng_39400416
