0_abv,0_beer_name,0_brew_factory_name,0_style,1_abv,1_beer_name,1_brew_factory_name,1_style
7.5,tr_egs_nugget_nectar,tr_egs_brewing_company,american_amber_red_ale,,,,
5.2,fat_tire_amber_ale,new_belgium_brewing,american_amber_red_ale,,,,
4.4,levitation_ale,stone_brewing_co,american_amber_red_ale,,,,
8.1,green_flash_hop_head_red_ale,green_flash_brewing_co,american_amber_red_ale,,,,
6.0,tr_egs_hopback_amber_ale,tr_egs_brewing_company,american_amber_red_ale,,,,
6.2,flipside_red_ipa,sierra_nevada_brewing_co,american_amber_red_ale,,,,
6.8,censored,lagunitas_brewing_company,american_amber_red_ale,,,,
6.8,red_rocket_ale,bear_republic_brewing_co,american_amber_red_ale,,,,
8.0,great_lakes_nosferatu,great_lakes_brewing_co,american_amber_red_ale,,,,
7.8,lagunitas_imperial_red_ale,lagunitas_brewing_company,american_amber_red_ale,,,,
7.2,zoe,maine_beer_company,american_amber_red_ale,,,,
5.3,santa_s_private_reserve_ale,rogue_ales,american_amber_red_ale,,,,
8.7,lagunitas_lucky_13_mondo_large_red_ale,lagunitas_brewing_company,american_amber_red_ale,,,,
5.4,ruedrich_s_red_seal_ale,north_coast_brewing_co,american_amber_red_ale,,,,
5.8,boont_amber_ale,anderson_valley_brewing_company,american_amber_red_ale,,,,
5.3,american_amber_ale,rogue_ales,american_amber_red_ale,,,,
5.8,highland_gaelic_ale,highland_brewing,american_amber_red_ale,,,,
7.4,tocobaga_red_ale,cigar_city_brewing,american_amber_red_ale,,,,
5.5,calico_copper_amber_ale,ballast_point_brewing_company,american_amber_red_ale,,,,
4.4,avalanche_ale,breckenridge_brewery,american_amber_red_ale,,,,
7.0,cascazilla,ithaca_beer_company,american_amber_red_ale,,,,
5.5,full_sail_amber,full_sail_brewery_tasting_room_pub,american_amber_red_ale,,,,
5.1,st_rogue_red,rogue_ales,american_amber_red_ale,,,,
6.1,red_tail_ale,mendocino_brewing_company,american_amber_red_ale,,,,
6.1,prohibition_ale,speakeasy_ales_lagers,american_amber_red_ale,,,,
7.0,global_warmer,sixpoint_brewery,american_amber_red_ale,,,,
6.8,blazing_world,modern_times_beer,american_amber_red_ale,,,,
7.0,red_wheelbarrow,maine_beer_company,american_amber_red_ale,,,,
6.0,anchor_bigleaf_maple_autumn_red,anchor_brewing_company,american_amber_red_ale,,,,
10.0,tongue_buckler_imperial_red_ale,ballast_point_brewing_company,american_amber_red_ale,,,,
6.0,red_hoptober,new_belgium_brewing,american_amber_red_ale,,,,
6.2,captain_sig_s_northwestern_ale,rogue_ales,american_amber_red_ale,,,,
5.0,five_am,brewdog,american_amber_red_ale,,,,
8.5,yulesmith_winter,alesmith_brewing_company,american_amber_red_ale,,,,
9.0,shark_attack_double_red_ale,port_brewing,american_amber_red_ale,,,,
5.0,switchback_ale,switchback_brewing_company,american_amber_red_ale,,,,
6.5,runoff_red_ipa,odell_brewing_company,american_amber_red_ale,,,,
5.4,red_nectar,humboldt_brewing_co,american_amber_red_ale,,,,
6.8,ambergeddon,ale_asylum,american_amber_red_ale,,,,
10.3,terrapin_oaked_big_hoppy_monster,terrapin_beer_company,american_amber_red_ale,,,,
5.4,autumnfest,weyerbacher_brewing_co,american_amber_red_ale,,,,
6.7,alesmith_my_bloody_valentine,alesmith_brewing_company,american_amber_red_ale,,,,
7.5,kingpin_double_red_ale,bridgeport_brewing_co_brewpub,american_amber_red_ale,,,,
6.9,loakal_red,the_bruery,american_amber_red_ale,,,,
8.0,redoric_beer_camp_65_best_of_beer_camp_imperial_red_ale,sierra_nevada_brewing_co,american_amber_red_ale,,,,
5.8,redhook_copperhook,redhook_ale_brewery,american_amber_red_ale,,,,
5.5,duckrabbit_amber_ale,the_duckrabbit_craft_brewery,american_amber_red_ale,,,,
5.7,samuel_adams_mighty_oak_ale,boston_beer_company_samuel_adams,american_amber_red_ale,,,,
6.9,believer,ninkasi_brewing_company,american_amber_red_ale,,,,
5.7,mermaid_s_red_ale,coronado_brewing_company,american_amber_red_ale,,,,
6.5,jamaica_red_ale,mad_river_brewing_company,american_amber_red_ale,,,,
6.1,fistmas,revolution_brewing_company,american_amber_red_ale,,,,
5.5,saint_arnold_amber_ale,saint_arnold_brewing_company,american_amber_red_ale,,,,
8.5,pursuit_of_hoppiness,grand_teton_brewing_co,american_amber_red_ale,,,,
7.3,mourning_wood,local_option,american_amber_red_ale,,,,
5.9,blue_moon_valencia_amber_ale,coors_brewing_company,american_amber_red_ale,,,,
5.7,snowshoe_red_ale,new_glarus_brewing_company,american_amber_red_ale,,,,
6.5,blood_of_the_unicorn,pipeworks_brewing_company,american_amber_red_ale,,,,
6.7,alesmith_evil_dead_red,alesmith_brewing_company,american_amber_red_ale,,,,
5.2,new_holland_sundog_amber_ale,new_holland_brewing_company,american_amber_red_ale,,,,
5.3,cinder_cone_red,deschutes_brewery,american_amber_red_ale,,,,
5.5,dark_horse_amber_ale,dark_horse_brewing_company,american_amber_red_ale,,,,
5.7,laughing_skull_amber_ale,red_brick_brewing_company,american_amber_red_ale,,,,
5.0,drop_top_amber,widmer_brothers_brewing_company,american_amber_red_ale,,,,
5.9,hoppus_maximus,thirsty_dog_brewing_company,american_amber_red_ale,,,,
8.0,fascist_pig_ale,finch_s_beer_co,american_amber_red_ale,,,,
8.5,blood_shot_beer_camp_95,sierra_nevada_brewing_co,american_amber_red_ale,,,,
7.0,evil_twin_hop_flood,evil_twin_brewing,american_amber_red_ale,,,,
4.8,key_west_sunset_ale,florida_beer_company,american_amber_red_ale,,,,
5.5,alleycat_amber,lost_coast_brewery_and_cafe,american_amber_red_ale,,,,
5.2,african_amber,mac_and_jack_s_brewery,american_amber_red_ale,,,,
5.0,odell_levity_amber_ale,odell_brewing_company,american_amber_red_ale,,,,
6.5,big_red_coq,brewery_vivant,american_amber_red_ale,,,,
7.0,blue_point_winter_ale,blue_point_brewing_company,american_amber_red_ale,,,,
7.0,red_fish,flying_fish_brewing_company,american_amber_red_ale,,,,
5.3,red_banshee,the_fort_collins_brewery,american_amber_red_ale,,,,
5.2,green_lakes_organic_ale,deschutes_brewery,american_amber_red_ale,,,,
5.4,blue_moon_rising_moon_spring_ale,coors_brewing_company,american_amber_red_ale,,,,
6.8,evil_twin,heretic_brewing_company,american_amber_red_ale,,,,
4.9,buckshot_amber_ale,natty_greene_s_pub_brewing_co,american_amber_red_ale,,,,
5.5,hemp_hop_rye,ofallon_brewery,american_amber_red_ale,,,,
9.5,revelry,two_brothers_brewing_company,american_amber_red_ale,,,,
5.2,pinstripe_red_ale,ska_brewing_co,american_amber_red_ale,,,,
5.2,newport_storm_hurricane_amber_ale,coastal_extreme_brewing_co,american_amber_red_ale,,,,
5.9,redhook_late_harvest_autumn_ale,redhook_ale_brewery,american_amber_red_ale,,,,
9.0,xs_imperial_red,rogue_ales,american_amber_red_ale,,,,
5.6,the_men_s_room_ale,elysian_brewing_company,american_amber_red_ale,,,,
5.0,lobster_ale,belfast_bay_brewing_co,american_amber_red_ale,,,,
5.3,mayflower_spring_hop,mayflower_brewing_company,american_amber_red_ale,,,,
6.0,giddy_up,new_belgium_brewing,american_amber_red_ale,,,,
6.2,revel_red,stoudts_brewing_co,american_amber_red_ale,,,,
5.0,old_yankee_ale,cottrell_brewing_co,american_amber_red_ale,,,,
7.0,dawn_of_the_red_ira_ale,ninkasi_brewing_company,american_amber_red_ale,,,,
7.9,centennial_red_brewmaster_series,long_trail_brewing_co,american_amber_red_ale,,,,
4.8,ouisconsing_red_ale,central_waters_brewing_co,american_amber_red_ale,,,,
5.4,ashland_amber,caldera_brewing_company,american_amber_red_ale,,,,
4.5,firefly_amber_ale,jackie_o_s_pub_brewery,american_amber_red_ale,,,,
6.0,reprise_centennial_red,4_hands_brewing_co,american_amber_red_ale,,,,
5.5,esb_amber_ale,flying_fish_brewing_company,american_amber_red_ale,,,,
8.5,alaskan_imperial_red_ale_pilot_series,alaskan_brewing_co,american_amber_red_ale,,,,
5.1,mactarnahan_s_amber_ale,portland_brewing_company,american_amber_red_ale,,,,
5.5,palmetto_amber,palmetto_brewing_company,american_amber_red_ale,,,,
6.5,rainmaker,steel_toe_brewing,american_amber_red_ale,,,,
6.5,ginger_twin,half_acre_beer_company,american_amber_red_ale,,,,
6.5,marble_red_ale,marble_brewery,american_amber_red_ale,,,,
5.2,retro_red,the_fort_collins_brewery,american_amber_red_ale,,,,
7.2,lost_dog,napa_smith_brewery,american_amber_red_ale,,,,
5.6,blue_moon_spiced_amber_ale,coors_brewing_company,american_amber_red_ale,,,,
6.6,loopy_oatmeal_red_ale,three_heads_brewing,american_amber_red_ale,,,,
8.8,red_skull,revolution_brewing_company,american_amber_red_ale,,,,
7.0,peak_organic_espresso_amber_ale,peak_organic_brewing_company,american_amber_red_ale,,,,
5.0,chronic_ale,pizza_port_solana_beach,american_amber_red_ale,,,,
,shine_on_ale,central_waters_brewing_co,american_amber_red_ale,,,,
5.0,alexander_keith_s_red_amber_ale,alexander_keith_s,american_amber_red_ale,,,,
4.5,river_horse_special_ale,river_horse_brewing_co,american_amber_red_ale,,,,
5.2,crazy_mountain_amber_ale,crazy_mountain_brewing_company,american_amber_red_ale,,,,
5.5,monk_in_the_trunk,inlet_brewing_co,american_amber_red_ale,,,,
4.8,tap_room_no_21_amber_ale,world_brews,american_amber_red_ale,,,,
5.7,kirkland_signature_amber_ale,kirkland_signature_costco_wholesale_corporation,american_amber_red_ale,,,,
6.0,gypsy_tears_ruby_ale,parallel_49_brewing_company,american_amber_red_ale,,,,
4.8,american_red_ale,rock_art_brewery,american_amber_red_ale,,,,
9.4,bonehead_imperial_red,fat_head_s_brewery_saloon,american_amber_red_ale,,,,
