beer_name,brew_factory_name,style,abv
tr_egs_nugget_nectar,tr_egs_brewing_company,american_amber_red_ale,7.5
fat_tire_amber_ale,new_belgium_brewing,american_amber_red_ale,5.2
levitation_ale,stone_brewing_co,american_amber_red_ale,4.4
green_flash_hop_head_red_ale,green_flash_brewing_co,american_amber_red_ale,8.1
tr_egs_hopback_amber_ale,tr_egs_brewing_company,american_amber_red_ale,6.0
flipside_red_ipa,sierra_nevada_brewing_co,american_amber_red_ale,6.2
censored,lagunitas_brewing_company,american_amber_red_ale,6.8
red_rockets_ale,bear_republic_brewing_co,american_amber_red_ale,6.8
great_lakes_nosferatu,great_lakes_brewing_co,american_amber_red_ale,8.0
lagunitas_imperial_red_ale,lagunitas_brewing_company,american_amber_red_ale,7.8
zoe,maine_beer_company,american_amber_red_ale,7.2
santa_s_private_reserve_ale,rogue_ales,american_amber_red_ale,5.3
lagunitas_lucky_13_mondo_large_red_ale,lagunitas_brewing_company,american_amber_red_ale,8.7
ruedrich_s_red_seal_ale,north_coast_brewing_co,american_amber_red_ale,5.4
boont_amber_ale,anderson_valley_brewing_company,american_amber_red_ale,5.8
american_amber_ale,rogue_ales,american_amber_red_ale,5.3
highlands_gaelic_ale,highland_brewing,american_amber_red_ale,5.8
tocobaga_red_ale,cigar_city_brewing,american_amber_red_ale,7.4
calico_chopper_amber_ale,ballast_point_brewing_company,american_amber_red_ale,5.5
avalanche_ale,breckenridge_brewery,american_amber_red_ale,4.4
casca_zilla,ithaca_beer_company,american_amber_red_ale,7.0
full_sail_amber,full_sail_brewery_tasting_room_pub,american_amber_red_ale,5.5
st_rogue_red,rogue_ales,american_amber_red_ale,5.1
red_tail_ale,mendocino_brewing_company,american_amber_red_ale,6.1
prohibition_ale,speakeasy_ales_lagers,american_amber_red_ale,6.1
global_warmer,sixpoint_brewery,american_amber_red_ale,7.0
blazing_world,modern_times_beer,american_amber_red_ale,6.8
red_wheelbarrow,maine_beer_company,american_amber_red_ale,7.0
anchor_big_leaf_maple_autumn_red,anchor_brewing_company,american_amber_red_ale,6.0
tongue_buckler_imperial_red_ale,ballast_point_brewing_company,american_amber_red_ale,10.0
red_hoptober,new_belgium_brewing,american_amber_red_ale,6.0
captain_sig_s_northwestern_ale,rogue_ales,american_amber_red_ale,6.2
five_am,brew_dog,american_amber_red_ale,5.0
yule_smith_winter,ale_smith_brewing_company,american_amber_red_ale,8.5
shark_attack_double_red_ale,port_brewing,american_amber_red_ale,9.0
switchback_ale,switchback_brewing_company,american_amber_red_ale,5.0
runoff_red_ipa,odell_brewing_company,american_amber_red_ale,6.5
red_nectar,humboldt_brewing_co,american_amber_red_ale,5.4
ambergeddon,ale_asylum,american_amber_red_ale,6.8
terrapin_oaked_big_hoppy_monster,terrapin_beer_company,american_amber_red_ale,10.3
autumn_fest,weyerbacher_brewing_co,american_amber_red_ale,5.4
ale_smith_my_bloody_valentine,ale_smith_brewing_company,american_amber_red_ale,6.7
kingpin_double_red_ale,bridge_port_brewing_co_brewpub,american_amber_red_ale,7.5
loakal_red,the_bruery,american_amber_red_ale,6.9
