author_1,author_2,author_3,author_4,title,venue,year
gottfried_vossen,mathias_weske,nan,nan,the_wasa2_objectoriented_workflow_management_system,international_conference_on_management_of_data,1999
isabel_f_cruz,kimberly_m_james,nan,nan,a_usercentered_interface_for_querying_distributed_multimedia_databases,international_conference_on_management_of_data,1999
athman_bouguettaya,boualem_benatallah,lily_hendra,james_beard,world_wide_databaseintegrating_the_we_corba_and_databases,international_conference_on_management_of_data,1999
chaitan_baru,amarnath_gupta,bertram_lud228scher,richard_marciano,xmlbased_information_mediation_with_mix,international_conference_on_management_of_data,1999
alexander_brodsky,victor_e_segal,jia_chen,paval_a_exarkhopoulo,the_ccube_constraint_objectoriented_database_system,international_conference_on_management_of_data,1999
phillippe_bonnet,kyle_buza,zhiyuan_chan,victor_cheng,the_cornell_jaguar_project_adding_mobility_to_predator,international_conference_on_management_of_data,1999
nick_roussopoulos,yannis_kotidis,yannis_sismanis,nan,the_active_multisync_controller_of_the_cubetree_storage_organization,international_conference_on_management_of_data,1999
michael_b246hlen,linas_bukauskas,curtis_dyreson,nan,the_jungle_database_search_engine,international_conference_on_management_of_data,1999
n_r_jennings,t_j_norman,p_faratin,nan,adept_an_agentbased_approach_to_business_process_management,acm_sigmod_record,1998
benny_reich,israel_benshaul,nan,nan,a_componentized_architecture_for_dynamic_electronic_markets,acm_sigmod_record,1998
susanne_boll,wolfgang_klas,bernard_battaglin,nan,design_and_implementation_of_rmp_a_virtual_electronic_market_place,acm_sigmod_record,1998
alex_g_b252chner,maurice_d_mulvenna,nan,nan,discovering_internet_marketing_intelligence_through_online_analytical_web_usage_mining,acm_sigmod_record,1998
martin_bichler,arie_segev,j_leon_zhao,nan,componentbased_ecommerce_assessment_of_current_practices_and_future_directions,acm_sigmod_record,1998
sherif_danish,nan,nan,nan,building_databasedriven_electronic_catalogs,acm_sigmod_record,1998
bart_meltzer,robert_glushko,nan,nan,xml_and_electronic_commerce_enabling_the_network_economy,acm_sigmod_record,1998
asuman_dogac,ilker_durusoy,sena_arpinar,nesime_tatbul,a_workflowbased_electronic_marketplace_on_the_web,acm_sigmod_record,1998
mehmet_altinel,demet_aksoy,thomas_baby,michael_franklin,dbistoolkit_adaptable_middleware_for_large_scale_data_delivery,international_conference_on_management_of_data,1999
ling_liu,wei_han,david_buttler,calton_pu,an_xjmlbased_wrapper_generator_for_web_information_extraction,international_conference_on_management_of_data,1999
