addr,city,class,name,phone,type
435_s_la_cienega_blv,los_angeles,0,arnie_morton_s_of_chicago,310246_1501,american
12224_ventura_blvd,studio_city,1,art_s_delicatessen,818762_1221,american
701_stone_canyon_rd,bel_air,2,hotel_belair,310472_1211,californian
14016_ventura_blvd,sherman_oaks,3,cafe_bizou,818788_3536,french
624_s_la_brea_ave,los_angeles,4,campanile,213938_1447,american
2709_main_st,santa_monica,5,chinois_on_main,310392_9025,french
6703_melrose_ave,los_angeles,6,citrus,213857_0034,californian
8358_sunset_blvd_west,hollywood,7,fenix,213848_6677,american
23725_w_malibu_rd,malibu,8,granita,310456_0488,californian
9560_dayton_way,los_angeles,9,grill_on_the_alley,310276_0615,american
1972_n_hillhurst_ave,los_angeles,10,restaurant_katsu,213665_1891,asian
903_n_la_cienega_blvd,los_angeles,11,l_orangerie,310652_9770,french
8284_melrose_ave,los_angeles,12,le_chardonnay,213655_8880,french
3rd_st,los_angeles,13,locanda_veneta,310274_1893,italian
129_n_la_cienega_blvd,beverly_hills,14,matsuhisa,310659_9639,asian
9001_santa_monica_blvd,los_angeles,15,the_palm,310550_8811,american
5955_melrose_ave,los_angeles,16,patina,213467_1108,californian
1001_n_alameda_st,los_angeles,17,philippe_s_the_original,213628_3781,american
12969_ventura_blvd,los_angeles,18,pinot_bistro,818990_0500,french
617_s_olive_st,los_angeles,19,rex_il_ristorante,213627_2300,italian
1114_horn_ave,los_angeles,20,spago,310652_4025,californian
3115_pico_blvd,santa_monica,21,valentino,310829_4313,italian
67_n_raymond_ave,los_angeles,22,yujean_kang_s_gourmet_chinese_cuisine,818585_0855,asian
21_w_52nd_st,new_york,23,21_club,212582_7200,american
13_w_54th_st,new_york,24,aquavit,212307_7311,continental
34_e_61st_st,new_york,25,aureole,212_3191660,american
201_w_83rd_st,new_york,26,cafe_lalo,212496_6031,coffee_bar
1_w_67th_st,new_york,27,cafe_des_artistes,212877_3500,continental
2450_broadway_between_90th_and_91st_sts,new_york,28,carmine_s,212362_2200,italian
854_7th_ave_between_54th_and_55th_sts,new_york,29,carnegie_deli,212757_2245,delicatessen
2_harrison_st_near_hudson_st,new_york,30,chanterelle,212966_6960,american
20_e_76th_st,new_york,31,daniel,212288_0033,french
210_e_58th_st,new_york,32,dawat,212355_7555,asian
243_e_58th_st,new_york,33,felidia,212758_1479,italian
99_e_52nd_st,new_york,34,four_seasons_grill_room,212754_9494,american
12_e_12th_st,new_york,35,gotham_bar_grill,212620_4020,american
42_e_20th_st_between_park_ave_s_and_broadway,new_york,36,gramercy_tavern,212477_0777,american
402_w_44th_st,new_york,37,island_spice,212765_1737,tel_caribbean
160_e_64th_st,new_york,38,jo_jo,212223_5656,american
33_w_55th_st,new_york,39,la_caravelle,212586_4252,french
60_w_55th_st_between_5th_and_6th_ave,new_york,40,la_cote_basque,212688_6525,french
155_w_51st_st,new_york,41,le_bernardin,212489_1515,french
160_central_park_s,new_york,42,les_celebrites,212484_5113,french
2_e_55th_st,new_york,43,lespinasse,212339_6719,american
249_e_50th_st,new_york,44,lutece,212752_2225,french
57_w_58th_st,new_york,45,manhattan_ocean_club,212_3717777,seafood
405_e_58th_st,new_york,46,march,212754_6272,american
102_5th_ave_between_15th_and_16th_sts,new_york,47,mesa_grill,212807_7400,american
57_jane_st_off_hudson_st,new_york,48,mi_cocina,212627_8273,mexican
239_w_broadway_between_walker_and_white_sts,new_york,49,montrachet,212_2192777,french
55_e_54th_st,new_york,50,oceana,212759_5941,seafood
100_e_63rd_st,new_york,51,park_avenue_cafe,212644_1900,american
182_w_58th_st,new_york,52,petrossian,212245_2214,french
35_w_64th_st,new_york,53,picholine,212724_8585,mediterranean
95_ave_a_at_6th_st,new_york,54,pisces,212260_6660,seafood
30_rockefeller_plaza,new_york,55,rainbow_room,212632_5000,or_212632_5100_american
1_water_st_at_the_east_river,brooklyn,56,river_cafe,718522_5200,american
240_central_park_s,new_york,57,san_domenico,212265_5959,italian
156_2nd_ave_at_10th_st,new_york,58,second_avenue_deli,212677_0606,delicatessen
11_e_53rd_st,new_york,59,seryna,212980_9393,asian
43_w_65th_st,new_york,60,shun_lee_west,212371_8844,asian
1110_3rd_ave_at_65th_st,new_york,61,sign_of_the_dove,212861_8080,american
201_e_49th_st,new_york,62,smith_wollensky,212753_1530,american
in_central_park_at_67th_st,new_york,63,tavern_on_the_green,212873_3200,american
