0_brand,0_category,0_modelno,0_price,0_title,1_brand,1_category,1_modelno,1_price,1_title
draper,electronics_general,121066,58.5,draper_infrared_remote_transmitter,,,,,
epson,monitors,elplp12,438.8,epson_1500_hours_200w_uhe_projector_lamp_elplp12,,,,,
comprehensive,tv_accessories,bj2c7559,59.2,comprehensive_twopiece_75_precision_bnc_jack_for_rg59_set_of_25,,,,,
dlink,garden_general,dcs1100,99.8,dlink_dcs1100_network_camera,,,,,
startech,electronics_general,rkpw247015,59.0,startechcom_rkpw247015_24_outlet_power_strip,,,,,
3m,furniture,fr530cb,67.9,3m_fr530cb_ergonomic_adjustable_footrest,,,,,
hp,stationery_office_machinery,c6020b,49.9,hp_c6020b_coated_paper_1_roll_36inches_x_150_ft,,,,,
visioneer,electronics_general,rw120wu,200.0,visioneer_rw120wu_roadwarrior_sheetfed_scanner,,,,,
brother,stationery_office_machinery,dk2113,64.9,brother_dk2113_ql_label_printers_continuous_length_tape,,,,,
3m,electronics_general,mw310le,17.9,3m_mw310le_gel_mouse_pad,,,,,
lacie,electronics_general,130935,15.0,lacie_formoa_15_macbook_carrying_case_black,,,,,
draper,electronics_general,116263,1731.0,draper_high_contrast_grey_targa_electric_screen_widescreen_182_diagonal,,,,,
draper,electronics_general,106018,4375.9,draper_at1200_access_multiview_series_e_acoustically_transparent_screen_106_diagonal_hdtv_to_ntsc_format,,,,,
stanley,electronics_general,pc509,34.9,stanley_500_watt_power_inverter,,,,,
gear_head,electronics_general,wc1200red,16.0,gear_head_quick_13_mp_webcam_with_night_vision_red_black,,,,,
avery,stationery_office_machinery,5029,21.5,avery_selfadhesive_filing_labels_1_3_cut_37_16_x_2_3_clear_450_pack,,,,,
xfx,electronics_general,hd685xzndc,195.0,xfx_radeon_hd6850_pcie_1gb_ddr5_graphics_card,,,,,
skb_cases,electronics_general,3skb1914mr,215.0,skb_cases_ph_series_pull_handle_case_11_1_2_h_x_21_5_8_w_x_16_3_8_d_outside,,,,,
