3#__tn,3$__tt,5$__idx,1$__cid
idx__0,tt__broderbund,1,1.0
tt__broderbund,cid__0_manufacturer,1.0,1
idx__0,tt__clickart_950_000_premier_image_pack_dvdrom,1,1.0
tt__clickart_950_000_premier_image_pack_dvdrom,cid__0_title,1.0,1
idx__1,tt__computer_associates,1,1.0
tt__computer_associates,cid__0_manufacturer,1.0,1
idx__1,tt__ca_international_arcserve_lapdesktop_oem_30pk,1,1.0
tt__ca_international_arcserve_lapdesktop_oem_30pk,cid__0_title,1.0,1
idx__2,tt__victory_multimedia,1,1.0
tt__victory_multimedia,cid__0_manufacturer,1.0,1
idx__2,tt__noah_s_ark_activity_center_jewel_case_ages_38,1,1.0
tt__noah_s_ark_activity_center_jewel_case_ages_38,cid__0_title,1.0,1
idx__3,tt__sage_software,1,1.0
tt__sage_software,cid__0_manufacturer,1.0,1
idx__3,tn__600,1,1
tn__600,cid__0_price,1,1
idx__3,tt__peachtree_by_sage_premium_accounting_for_nonprofits_2007,1,1.0
tt__peachtree_by_sage_premium_accounting_for_nonprofits_2007,cid__0_title,1.0,1
idx__4,tt__carryatune_technologies,1,1.0
tt__carryatune_technologies,cid__0_manufacturer,1.0,1
idx__4,tn__100,1,1
tn__100,cid__0_price,1,1
idx__4,tt__singing_coach_unlimited,1,1.0
tt__singing_coach_unlimited,cid__0_title,1.0,1
idx__5,tt__dantz,1,1.0
tt__dantz,cid__0_manufacturer,1.0,1
idx__5,tt__emc_retrospect_75_disk_to_disk_windows,1,1.0
tt__emc_retrospect_75_disk_to_disk_windows,cid__0_title,1.0,1
idx__6,tt__adobe,1,1.0
tt__adobe,cid__0_manufacturer,1.0,1
idx__6,tn__500,1,1
tn__500,cid__0_price,1,1
idx__6,tt__adobe_after_effects_professional_65_upgrade_from_standard_to_professional,1,1.0
tt__adobe_after_effects_professional_65_upgrade_from_standard_to_professional,cid__0_title,1.0,1
idx__7,tt__nuance_academic,1,1.0
tt__nuance_academic,cid__0_manufacturer,1.0,1
idx__7,tn__400,1,1
tn__400,cid__0_price,1,1
idx__7,tt__acad_upgrade_dragon_naturallyspeaking_pro_solution_90_a289afd79_0,1,1.0
tt__acad_upgrade_dragon_naturallyspeaking_pro_solution_90_a289afd79_0,cid__0_title,1.0,1
idx__8,tt__kutoka,1,1.0
tt__kutoka,cid__0_manufacturer,1.0,1
idx__8,tn__20,1,1
tn__20,cid__0_price,1,1
idx__8,tt__mia_s_math_adventure_just_in_time,1,1.0
tt__mia_s_math_adventure_just_in_time,cid__0_title,1.0,1
idx__9,tt__disney,1,1.0
tt__disney,cid__0_manufacturer,1.0,1
idx__9,tn__15,1,1
tn__15,cid__0_price,1,1
idx__9,tt__disney_s_1st_2nd_grade_bundle_pixar_1st_grade_secret_keys_and_aladdin_reading_quest,1,1.0
tt__disney_s_1st_2nd_grade_bundle_pixar_1st_grade_secret_keys_and_aladdin_reading_quest,cid__0_title,1.0,1
idx__10,tt__arcmediainc,1,1.0
tt__arcmediainc,cid__0_manufacturer,1.0,1
idx__10,tt__paper_art_gift_wrapping,1,1.0
tt__paper_art_gift_wrapping,cid__0_title,1.0,1
idx__11,tt__hummingbird_communications,1,1.0
tt__hummingbird_communications,cid__0_manufacturer,1.0,1
idx__11,tn__310,1,1
tn__310,cid__0_price,1,1
idx__11,tt__nfs_maestro_solo_2006_1u,1,1.0
tt__nfs_maestro_solo_2006_1u,cid__0_title,1.0,1
idx__12,tt__microsoft,1,1.0
tt__microsoft,cid__0_manufacturer,1.0,1
idx__12,tn__1849,1,1
tn__1849,cid__0_price,1,1
idx__12,tt__microsoft_sql_server_standard_edition_2005_64_bit_cddvd_5_client,1,1.0
tt__microsoft_sql_server_standard_edition_2005_64_bit_cddvd_5_client,cid__0_title,1.0,1
idx__13,tt__webroot_software,1,1.0
tt__webroot_software,cid__0_manufacturer,1.0,1
idx__13,tn__30,1,1
tn__30,cid__0_price,1,1
idx__13,tt__spy_sweeper_spanish,1,1.0
tt__spy_sweeper_spanish,cid__0_title,1.0,1
idx__14,tt__lotus_development,1,1.0
tt__lotus_development,cid__0_manufacturer,1.0,1
idx__14,tn__95,1,1
tn__95,cid__0_price,1,1
idx__14,tt__domino_designerdeveloper_v5_0,1,1.0
tt__domino_designerdeveloper_v5_0,cid__0_title,1.0,1
idx__15,tt__csdc,1,1.0
tt__csdc,cid__0_manufacturer,1.0,1
idx__15,tn__70,1,1
tn__70,cid__0_price,1,1
idx__15,tt__omnioutliner_professional_30,1,1.0
tt__omnioutliner_professional_30,cid__0_title,1.0,1
idx__16,tt__compaq_computer,1,1.0
tt__compaq_computer,cid__0_manufacturer,1.0,1
idx__16,tt__compaq_comp_secure_path_v30cnetware_wrkgrp_50_lic_231327b22,1,1.0
tt__compaq_comp_secure_path_v30cnetware_wrkgrp_50_lic_231327b22,cid__0_title,1.0,1
idx__17,tt__sonicsystemsinc,1,1.0
tt__sonicsystemsinc,cid__0_manufacturer,1.0,1
idx__17,tt__upg_sgms_1000_incremental_node,1,1.0
tt__upg_sgms_1000_incremental_node,cid__0_title,1.0,1
idx__18,tt__topics_entertainment,1,1.0
tt__topics_entertainment,cid__0_manufacturer,1.0,1
idx__18,tn__20,1,1
tn__20,cid__0_price,1,1
idx__18,tt__the_human_body,1,1.0
tt__the_human_body,cid__0_title,1.0,1
idx__19,tt__schoolzoneinteractive,1,1.0
tt__schoolzoneinteractive,cid__0_manufacturer,1.0,1
idx__19,tt__school_zone_pencilpal_software_big_phonics_cdrom_book,1,1.0
tt__school_zone_pencilpal_software_big_phonics_cdrom_book,cid__0_title,1.0,1
idx__20,tt__ibm_aapmiscparts,1,1.0
tt__ibm_aapmiscparts,cid__0_manufacturer,1.0,1
idx__20,tt__millie_s_math_house_ages_37_winmac,1,1.0
tt__millie_s_math_house_ages_37_winmac,cid__0_title,1.0,1
idx__21,tt__topics_entertainment,1,1.0
tt__topics_entertainment,cid__0_manufacturer,1.0,1
idx__21,tn__20,1,1
tn__20,cid__0_price,1,1
idx__21,tt__world_book_encyclopedia_2006,1,1.0
tt__world_book_encyclopedia_2006,cid__0_title,1.0,1
idx__22,tt__globalsoftwarepublishing,1,1.0
tt__globalsoftwarepublishing,cid__0_manufacturer,1.0,1
idx__22,tn__10,1,1
tn__10,cid__0_price,1,1
idx__22,tt__musicalis_guitar_workshop,1,1.0
tt__musicalis_guitar_workshop,cid__0_title,1.0,1
idx__23,tt__broderbund,1,1.0
tt__broderbund,cid__0_manufacturer,1.0,1
idx__23,tn__70,1,1
tn__70,cid__0_price,1,1
idx__23,tt__the_printshop_20_professional_publisher,1,1.0
tt__the_printshop_20_professional_publisher,cid__0_title,1.0,1
idx__24,tt__stomp_inc,1,1.0
tt__stomp_inc,cid__0_manufacturer,1.0,1
idx__24,tn__70,1,1
tn__70,cid__0_price,1,1
idx__24,tt__data_protection_suite,1,1.0
tt__data_protection_suite,cid__0_title,1.0,1
idx__25,tt__topics_entertainment,1,1.0
tt__topics_entertainment,cid__0_manufacturer,1.0,1
idx__25,tn__20,1,1
tn__20,cid__0_price,1,1
idx__25,tt__kids_power_fun_for_girls,1,1.0
tt__kids_power_fun_for_girls,cid__0_title,1.0,1
idx__26,tt__adobe,1,1.0
tt__adobe,cid__0_manufacturer,1.0,1
idx__26,tn__299,1,1
tn__299,cid__0_price,1,1
idx__26,tt__adobe_premiere_pro_cs3_upgrade,1,1.0
tt__adobe_premiere_pro_cs3_upgrade,cid__0_title,1.0,1
idx__27,tt__metoosoftware,1,1.0
tt__metoosoftware,cid__0_manufacturer,1.0,1
idx__27,tn__70,1,1
tn__70,cid__0_price,1,1
idx__27,tt__i_copy_dvds_2_professional_edition,1,1.0
tt__i_copy_dvds_2_professional_edition,cid__0_title,1.0,1
idx__28,tt__genx,1,1.0
tt__genx,cid__0_manufacturer,1.0,1
idx__28,tn__50,1,1
tn__50,cid__0_price,1,1
idx__28,tt__genx_media_made_easy_vol_3,1,1.0
tt__genx_media_made_easy_vol_3,cid__0_title,1.0,1
idx__29,tt__encore,1,1.0
tt__encore,cid__0_manufacturer,1.0,1
idx__29,tn__110,1,1
tn__110,cid__0_price,1,1
idx__29,tt__family_tree_maker_112_collector_s_edition,1,1.0
tt__family_tree_maker_112_collector_s_edition,cid__0_title,1.0,1
idx__30,tt__adobe,1,1.0
tt__adobe,cid__0_manufacturer,1.0,1
idx__30,tn__299,1,1
tn__299,cid__0_price,1,1
idx__30,tt__adobe_fireworks_cs3_mac,1,1.0
tt__adobe_fireworks_cs3_mac,cid__0_title,1.0,1
idx__31,tt__topics_entertainment,1,1.0
tt__topics_entertainment,cid__0_manufacturer,1.0,1
idx__31,tn__20,1,1
tn__20,cid__0_price,1,1
idx__31,tt__dinosaurs,1,1.0
tt__dinosaurs,cid__0_title,1.0,1
idx__32,tt__topics_entertainment,1,1.0
tt__topics_entertainment,cid__0_manufacturer,1.0,1
idx__32,tn__20,1,1
tn__20,cid__0_price,1,1
idx__32,tt__instant_home_design_30_lb,1,1.0
tt__instant_home_design_30_lb,cid__0_title,1.0,1
idx__33,tt__xoom,1,1.0
tt__xoom,cid__0_manufacturer,1.0,1
idx__33,tt__xoom_internet_movies_2,1,1.0
tt__xoom_internet_movies_2,cid__0_title,1.0,1
idx__34,tt__valusoft,1,1.0
tt__valusoft,cid__0_manufacturer,1.0,1
idx__34,tn__30,1,1
tn__30,cid__0_price,1,1
idx__34,tt__form_workshop_1200,1,1.0
tt__form_workshop_1200,cid__0_title,1.0,1
idx__35,tt__encore,1,1.0
tt__encore,cid__0_manufacturer,1.0,1
idx__35,tn__100,1,1
tn__100,cid__0_price,1,1
idx__35,tt__the_print_shop_pro_publisher_22_deluxe_dvd,1,1.0
