3#__tn,3$__tt,5$__idx,1$__cid
idx__0,tn__7,1,1
tn__7,cid__0_abv,1,1
idx__0,tt__tr_egs_nugget_nectar,1,1.0
tt__tr_egs_nugget_nectar,cid__0_beer_name,1.0,1
idx__0,tt__tr_egs_brewing_company,1,1.0
tt__tr_egs_brewing_company,cid__0_brew_factory_name,1.0,1
idx__0,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__1,tn__5,1,1.0
tn__5,cid__0_abv,1.0,1
idx__1,tt__fat_tire_amber_ale,1,1.0
tt__fat_tire_amber_ale,cid__0_beer_name,1.0,1
idx__1,tt__new_belgium_brewing,1,1.0
tt__new_belgium_brewing,cid__0_brew_factory_name,1.0,1
idx__1,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__2,tn__4,1,1
tn__4,cid__0_abv,1,1
idx__2,tt__levitation_ale,1,1.0
tt__levitation_ale,cid__0_beer_name,1.0,1
idx__2,tt__stone_brewing_co,1,1.0
tt__stone_brewing_co,cid__0_brew_factory_name,1.0,1
idx__2,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__3,tn__8,1,1
tn__8,cid__0_abv,1,1
idx__3,tt__green_flash_hop_head_red_ale,1,1.0
tt__green_flash_hop_head_red_ale,cid__0_beer_name,1.0,1
idx__3,tt__green_flash_brewing_co,1,1.0
tt__green_flash_brewing_co,cid__0_brew_factory_name,1.0,1
idx__3,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__4,tn__6,1,1
tn__6,cid__0_abv,1,1
idx__4,tt__tr_egs_hopback_amber_ale,1,1.0
tt__tr_egs_hopback_amber_ale,cid__0_beer_name,1.0,1
idx__4,tt__tr_egs_brewing_company,1,1.0
tt__tr_egs_brewing_company,cid__0_brew_factory_name,1.0,1
idx__4,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__5,tn__6,1,1
tn__6,cid__0_abv,1,1
idx__5,tt__flipside_red_ipa,1,1.0
tt__flipside_red_ipa,cid__0_beer_name,1.0,1
idx__5,tt__sierra_nevada_brewing_co,1,1.0
tt__sierra_nevada_brewing_co,cid__0_brew_factory_name,1.0,1
idx__5,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__6,tn__6,1,1
tn__6,cid__0_abv,1,1
idx__6,tt__censored,1,1.0
tt__censored,cid__0_beer_name,1.0,1
idx__6,tt__lagunitas_brewing_company,1,1.0
tt__lagunitas_brewing_company,cid__0_brew_factory_name,1.0,1
idx__6,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__7,tn__6,1,1
tn__6,cid__0_abv,1,1
idx__7,tt__red_rocket_ale,1,1.0
tt__red_rocket_ale,cid__0_beer_name,1.0,1
idx__7,tt__bear_republic_brewing_co,1,1.0
tt__bear_republic_brewing_co,cid__0_brew_factory_name,1.0,1
idx__7,tt__american_amber_red_ale,1,1.0
tt__american_amber_red_ale,cid__0_style,1.0,1
idx__8,tn__8,1,1
tn__8,cid__0_abv,1,1
