3#__tn,3$__tt,5$__idx,1$__cid
idx__0,tt__gottfried_vossen,1,1.0
tt__gottfried_vossen,cid__author_1,1.0,1
idx__0,tt__mathias_weske,1,1.0
tt__mathias_weske,cid__author_2,1.0,1
idx__0,tt__the_wasa2_objectoriented_workflow_management_system,1,1.0
tt__the_wasa2_objectoriented_workflow_management_system,cid__title,1.0,1
idx__0,tt__international_conference_on_management_of_data,1,1.0
tt__international_conference_on_management_of_data,cid__venue,1.0,1
idx__0,tn__1999,1,1
tn__1999,cid__year,1,1
idx__1,tt__isabel_f_cruz,1,1.0
tt__isabel_f_cruz,cid__author_1,1.0,1
idx__1,tt__kimberly_m_james,1,1.0
tt__kimberly_m_james,cid__author_2,1.0,1
idx__1,tt__a_usercentered_interface_for_querying_distributed_multimedia_databases,1,1.0
tt__a_usercentered_interface_for_querying_distributed_multimedia_databases,cid__title,1.0,1
idx__1,tt__international_conference_on_management_of_data,1,1.0
tt__international_conference_on_management_of_data,cid__venue,1.0,1
idx__1,tn__1999,1,1
tn__1999,cid__year,1,1
idx__2,tt__athman_bouguettaya,1,1.0
tt__athman_bouguettaya,cid__author_1,1.0,1
idx__2,tt__boualem_benatallah,1,1.0
tt__boualem_benatallah,cid__author_2,1.0,1
idx__2,tt__lily_hendra,1,1.0
tt__lily_hendra,cid__author_3,1.0,1
idx__2,tt__james_beard,1,1.0
tt__james_beard,cid__author_4,1.0,1
idx__2,tt__world_wide_databaseintegrating_the_we_corba_and_databases,1,1.0
tt__world_wide_databaseintegrating_the_we_corba_and_databases,cid__title,1.0,1
idx__2,tt__international_conference_on_management_of_data,1,1.0
tt__international_conference_on_management_of_data,cid__venue,1.0,1
idx__2,tn__1999,1,1
tn__1999,cid__year,1,1
idx__3,tt__chaitan_baru,1,1.0
tt__chaitan_baru,cid__author_1,1.0,1
idx__3,tt__amarnath_gupta,1,1.0
tt__amarnath_gupta,cid__author_2,1.0,1
idx__3,tt__bertram_lud228scher,1,1.0
tt__bertram_lud228scher,cid__author_3,1.0,1
idx__3,tt__richard_marciano,1,1.0
tt__richard_marciano,cid__author_4,1.0,1
idx__3,tt__xmlbased_information_mediation_with_mix,1,1.0
tt__xmlbased_information_mediation_with_mix,cid__title,1.0,1
idx__3,tt__international_conference_on_management_of_data,1,1.0
tt__international_conference_on_management_of_data,cid__venue,1.0,1
idx__3,tn__1999,1,1
tn__1999,cid__year,1,1
idx__4,tt__alexander_brodsky,1,1.0
tt__alexander_brodsky,cid__author_1,1.0,1
idx__4,tt__victor_e_segal,1,1.0
tt__victor_e_segal,cid__author_2,1.0,1
idx__4,tt__jia_chen,1,1.0
tt__jia_chen,cid__author_3,1.0,1
idx__4,tt__paval_a_exarkhopoulo,1,1.0
tt__paval_a_exarkhopoulo,cid__author_4,1.0,1
idx__4,tt__the_ccube_constraint_objectoriented_database_system,1,1.0
tt__the_ccube_constraint_objectoriented_database_system,cid__title,1.0,1
