3#__tn,3$__tt,5$__idx,1$__cid
idx__0,tt__435_s_la_cienega_blv,1,1.0
tt__435_s_la_cienega_blv,cid__addr,1.0,1
idx__0,tt__los_angeles,1,1.0
tt__los_angeles,cid__city,1.0,1
idx__0,tn__0,1,1
tn__0,cid__class,1,1
idx__0,tt__arnie_morton_s_of_chicago,1,1.0
tt__arnie_morton_s_of_chicago,cid__name,1.0,1
idx__0,tn__3102461501,1,1.0
tn__3102461501,cid__phone,1.0,1
idx__0,tt__american,1,1.0
tt__american,cid__type,1.0,1
idx__1,tt__12224_ventura_blvd,1,1.0
tt__12224_ventura_blvd,cid__addr,1.0,1
idx__1,tt__studio_city,1,1.0
tt__studio_city,cid__city,1.0,1
idx__1,tn__1,1,1
tn__1,cid__class,1,1
idx__1,tt__art_s_delicatessen,1,1.0
tt__art_s_delicatessen,cid__name,1.0,1
idx__1,tn__8187621221,1,1.0
tn__8187621221,cid__phone,1.0,1
idx__1,tt__american,1,1.0
tt__american,cid__type,1.0,1
idx__2,tt__701_stone_canyon_rd,1,1.0
tt__701_stone_canyon_rd,cid__addr,1.0,1
idx__2,tt__bel_air,1,1.0
tt__bel_air,cid__city,1.0,1
idx__2,tn__2,1,1
tn__2,cid__class,1,1
idx__2,tt__hotel_belair,1,1.0
tt__hotel_belair,cid__name,1.0,1
idx__2,tn__3104721211,1,1.0
tn__3104721211,cid__phone,1.0,1
idx__2,tt__californian,1,1.0
tt__californian,cid__type,1.0,1
idx__3,tt__14016_ventura_blvd,1,1.0
tt__14016_ventura_blvd,cid__addr,1.0,1
idx__3,tt__sherman_oaks,1,1.0
tt__sherman_oaks,cid__city,1.0,1
idx__3,tn__3,1,1
tn__3,cid__class,1,1
idx__3,tt__cafe_bizou,1,1.0
tt__cafe_bizou,cid__name,1.0,1
idx__3,tn__8187883536,1,1.0
tn__8187883536,cid__phone,1.0,1
idx__3,tt__french,1,1.0
tt__french,cid__type,1.0,1
idx__4,tt__624_s_la_brea_ave,1,1.0
tt__624_s_la_brea_ave,cid__addr,1.0,1
idx__4,tt__los_angeles,1,1.0
tt__los_angeles,cid__city,1.0,1
idx__4,tn__4,1,1.0
tn__4,cid__class,1.0,1
idx__4,tt__campanile,1,1.0
tt__campanile,cid__name,1.0,1
idx__4,tn__2139381447,1,1.0
tn__2139381447,cid__phone,1.0,1
idx__4,tt__american,1,1.0
tt__american,cid__type,1.0,1
idx__5,tt__2709_main_st,1,1.0
tt__2709_main_st,cid__addr,1.0,1
idx__5,tt__santa_monica,1,1.0
tt__santa_monica,cid__city,1.0,1
idx__5,tn__5,1,1
tn__5,cid__class,1,1
idx__5,tt__chinois_on_main,1,1.0
tt__chinois_on_main,cid__name,1.0,1
idx__5,tn__3103929025,1,1.0
tn__3103929025,cid__phone,1.0,1
idx__5,tt__french,1,1.0
tt__french,cid__type,1.0,1
idx__6,tt__6703_melrose_ave,1,1.0
tt__6703_melrose_ave,cid__addr,1.0,1
idx__6,tt__los_angeles,1,1.0
tt__los_angeles,cid__city,1.0,1
idx__6,tn__6,1,1
tn__6,cid__class,1,1
